date,exposure,r_v30,r_v31,qqq_ret
1986-01-02,0.0000,0.00017000,0.00017000,0.00000000
1986-01-03,1.0000,-0.00585000,-0.00585000,-0.00535000
1986-01-06,1.0000,-0.00147000,-0.00147000,-0.00147000
1986-01-07,1.0000,0.01870000,0.01870000,0.01870000
1986-01-08,1.0000,-0.01225000,-0.01225000,-0.01225000
1986-01-09,1.0000,-0.01797000,-0.01797000,-0.01797000
1986-01-10,1.0000,0.00596000,0.00596000,0.00596000
1986-01-13,1.0000,-0.00360000,-0.00360000,-0.00360000
1986-01-14,1.0000,0.00068000,0.00068000,0.00068000
1986-01-15,1.0000,0.01825000,0.01825000,0.01825000
1986-01-16,1.0000,0.01162000,0.01162000,0.01162000
1986-01-17,1.0000,-0.00216000,-0.00216000,-0.00216000
1986-01-20,1.0000,-0.00875000,-0.00875000,-0.00875000
1986-01-21,1.0000,-0.00389000,-0.00389000,-0.00389000
1986-01-22,1.0000,-0.01123000,-0.01123000,-0.01123000
1986-01-23,1.0000,-0.00264000,-0.00264000,-0.00264000
1986-01-24,1.0000,0.00722000,0.00722000,0.00722000
1986-01-27,1.0000,0.00459000,0.00459000,0.00459000
1986-01-28,1.0000,0.00916000,0.00916000,0.00916000
1986-01-29,1.0000,0.00813000,0.00813000,0.00813000
1986-01-30,1.0000,-0.00651000,-0.00651000,-0.00651000
1986-01-31,1.0000,0.00558000,0.00558000,0.00558000
1986-02-03,1.0000,0.00992000,0.00992000,0.00992000
1986-02-04,1.0000,0.00271000,0.00271000,0.00271000
1986-02-05,1.0000,0.00831000,0.00831000,0.00831000
1986-02-06,1.0000,0.00684000,0.00684000,0.00684000
1986-02-07,1.0000,0.00573000,0.00573000,0.00573000
1986-02-10,1.0000,0.00515000,0.00515000,0.00515000
1986-02-11,1.0000,0.00100000,0.00100000,0.00100000
1986-02-12,1.0000,0.00295000,0.00295000,0.00295000
1986-02-13,1.0000,0.00363000,0.00363000,0.00363000
1986-02-14,1.0000,0.00717000,0.00717000,0.00717000
1986-02-18,1.0000,0.00413000,0.00413000,0.00413000
1986-02-19,1.0000,-0.00776000,-0.00776000,-0.00776000
