Date,Price350
2022-01-03,401.56
2022-01-04,397.67
2022-01-05,385.59
2022-01-06,383.87
2022-01-07,380.95
2022-01-10,379.15
2022-01-11,384.89
2022-01-12,387.64
2022-01-13,377.47
2022-01-14,380.08
2022-01-18,371.45
2022-01-19,367.82
2022-01-20,362.85
2022-01-21,352.8
2022-01-24,352.32
2022-01-25,345.55
2022-01-26,343.43
2022-01-27,341.82
2022-01-28,350.83
2022-01-31,362.86
2022-02-01,365.555
2022-02-02,368.65
2022-02-03,353.41
2022-02-04,359.0
2022-02-07,355.42
2022-02-08,358.75
2022-02-09,366.26
2022-02-10,356.945
2022-02-11,347.56
2022-02-14,347.11
2022-02-15,355.87
2022-02-16,356.68
2022-02-17,345.9
2022-02-18,342.05
2022-02-22,337.78
2022-02-23,329.48
2022-02-24,339.96
2022-02-25,345.23
2022-02-28,345.5
2022-03-01,339.24
2022-03-02,348.025
2022-03-03,341.35
2022-03-04,336.29
2022-03-07,326.01
2022-03-08,324.43
2022-03-09,334.86
2022-03-10,331.4
2022-03-11,324.96
2022-03-14,318.14
2022-03-15,328.39
2022-03-16,339.04
2022-03-17,343.515
2022-03-18,351.11
2022-03-21,348.24
2022-03-22,357.42
2022-03-23,352.59
2022-03-24,358.87
2022-03-25,358.41
2022-03-28,363.865
2022-03-29,371.165
2022-03-30,366.31
2022-03-31,363.72
2022-04-01,360.77
2022-04-04,368.925
2022-04-05,360.58
2022-04-06,354.17
2022-04-07,354.77
2022-04-08,348.92
2022-04-11,341.25
2022-04-12,340.0
2022-04-13,346.8
2022-04-14,338.655
2022-04-18,337.03
2022-04-19,346.39
2022-04-20,341.925
2022-04-21,334.21
2022-04-22,326.19
2022-04-25,328.83
2022-04-26,318.52
2022-04-27,316.315
2022-04-28,327.35
2022-04-29,313.28
2022-05-02,317.65
2022-05-03,317.8
2022-05-04,330.02
2022-05-05,313.01
2022-05-06,310.45
2022-05-09,296.31
2022-05-10,300.65
2022-05-11,291.27
2022-05-12,290.07
2022-05-13,300.8
2022-05-16,298.53
2022-05-17,305.51
2022-05-18,291.11
2022-05-19,289.81
2022-05-20,288.14
2022-05-23,292.3
2022-05-24,287.33
2022-05-25,290.56
2022-05-26,300.14
2022-05-27,307.925
2022-05-31,310.17
2022-06-01,307.655
2022-06-02,313.775
2022-06-03,305.86
2022-06-06,306.98
2022-06-07,310.43
2022-06-08,307.39
2022-06-09,300.29
2022-06-10,289.36
2022-06-13,274.67
2022-06-14,276.4
2022-06-15,282.885
2022-06-16,270.43
2022-06-17,274.965
2022-06-21,281.79
2022-06-22,280.71
2022-06-23,285.39
2022-06-24,293.255
2022-06-27,291.73
2022-06-28,283.68
2022-06-29,283.71
2022-06-30,280.78
2022-07-01,281.725
